"Flop:  [2♥, 2♦, 3♥]",2021-09-18T19:04:33.150Z,163199187315000
"Flop:  [9♥, 8♠, 6♣]",2021-09-18T19:02:37.028Z,163199175702800
"Flop:  [7♣, A♥, J♣]",2021-09-18T19:01:47.613Z,163199170761300
"Flop:  [5♦, 5♠, A♣]",2021-09-18T19:01:01.911Z,163199166191100
"Flop:  [J♣, 8♠, 4♣]",2021-09-18T19:00:30.146Z,163199163014600
"Flop:  [3♥, 5♥, J♥]",2021-09-18T19:00:05.154Z,163199160515400
"Flop:  [2♥, 3♣, J♠]",2021-09-18T18:59:14.302Z,163199155430200
"Flop:  [Q♦, 7♠, 5♦]",2021-09-18T18:58:12.373Z,163199149237300
"Flop:  [7♠, 3♥, J♠]",2021-09-18T18:57:26.129Z,163199144612900
"Flop:  [J♥, 9♠, A♠]",2021-09-18T18:56:41.755Z,163199140175500
"Flop:  [2♥, 6♦, 10♦]",2021-09-18T18:55:18.634Z,163199131863400
"Flop:  [9♠, 2♦, 4♦]",2021-09-18T18:54:46.633Z,163199128663300
"Flop:  [9♣, 8♠, K♠]",2021-09-18T18:53:53.996Z,163199123399600
"Flop:  [5♥, 5♦, 9♠]",2021-09-18T18:52:47.200Z,163199116720000
"Flop:  [9♥, 9♣, 10♠]",2021-09-18T18:52:19.441Z,163199113944100
"Flop:  [2♥, 10♥, A♥]",2021-09-18T18:51:16.290Z,163199107629000
"Flop:  [8♣, 6♦, K♣]",2021-09-18T18:50:32.369Z,163199103236900
"Flop:  [10♣, 4♠, 10♠]",2021-09-18T18:49:46.950Z,163199098695000
"Flop:  [4♦, 9♥, 9♦]",2021-09-18T18:49:08.007Z,163199094800700
"Flop:  [9♥, A♥, 5♦]",2021-09-18T18:45:43.630Z,163199074363000
"Flop:  [A♠, 6♣, 7♣]",2021-09-18T18:43:53.482Z,163199063348200
"Flop:  [2♥, 9♥, Q♠]",2021-09-18T18:41:46.916Z,163199050691600
"Flop:  [3♣, 8♦, 6♣]",2021-09-18T18:40:22.463Z,163199042246300
"Flop:  [10♦, A♣, 5♣]",2021-09-18T18:39:36.893Z,163199037689300
"Flop:  [6♣, K♦, 8♦]",2021-09-18T18:38:27.058Z,163199030705800
"Flop:  [K♥, J♥, 6♦]",2021-09-18T18:37:45.662Z,163199026566200
"Flop:  [2♣, K♣, 5♠]",2021-09-18T18:37:07.488Z,163199022748800
"Flop:  [8♥, K♠, 10♠]",2021-09-18T18:36:04.732Z,163199016473200
"Flop:  [10♣, K♣, A♦]",2021-09-18T18:35:06.616Z,163199010661600
"Flop:  [2♣, J♥, 3♣]",2021-09-18T18:33:20.967Z,163199000096700
"Flop:  [9♥, J♦, 8♦]",2021-09-18T18:32:13.410Z,163198993341000
"Flop:  [A♥, 10♦, 5♣]",2021-09-18T18:30:43.533Z,163198984353300
"Flop:  [3♠, K♠, 5♠]",2021-09-18T18:30:04.451Z,163198980445100
"Flop:  [A♦, Q♦, 7♦]",2021-09-18T18:28:56.686Z,163198973668600
"Flop:  [8♥, A♠, 6♠]",2021-09-18T18:27:57.807Z,163198967780700
"Flop:  [A♠, 3♣, A♣]",2021-09-18T18:26:50.753Z,163198961075300
"Flop:  [3♠, Q♥, J♦]",2021-09-18T18:25:11.089Z,163198951108900
"Flop:  [6♥, K♥, K♠]",2021-09-18T18:23:36.990Z,163198941699000
"Flop:  [K♦, 3♦, 2♠]",2021-09-18T18:20:48.802Z,163198924880200
"Flop:  [10♥, 5♠, 9♣]",2021-09-18T18:20:00.182Z,163198920018200
"Flop:  [J♣, A♥, 6♣]",2021-09-18T18:18:29.854Z,163198910985400
"Flop:  [2♦, 9♠, 7♥]",2021-09-18T18:17:05.092Z,163198902509200
"Flop:  [9♥, A♦, 2♠]",2021-09-18T18:15:51.339Z,163198895133900
"Flop:  [4♥, 6♣, 6♦]",2021-09-18T18:14:43.353Z,163198888335300
"Flop:  [J♦, 10♣, 5♠]",2021-09-18T18:13:43.956Z,163198882395600
"Flop:  [6♦, J♠, 8♣]",2021-09-18T18:12:25.575Z,163198874557500
"Flop:  [10♠, 3♥, 2♣]",2021-09-18T18:11:01.745Z,163198866174500
"Flop:  [A♥, J♣, 9♦]",2021-09-18T18:09:44.102Z,163198858410200
"Flop:  [4♣, 7♣, 8♣]",2021-09-18T18:08:33.816Z,163198851381600
"Flop:  [5♠, A♥, 9♥]",2021-09-18T18:06:56.728Z,163198841672800
"Flop:  [5♣, 10♥, 3♦]",2021-09-18T18:06:03.336Z,163198836333600
"Flop:  [5♠, 2♣, Q♦]",2021-09-18T18:04:48.200Z,163198828820000
"Flop:  [K♥, 8♠, K♣]",2021-09-18T18:04:01.362Z,163198824136200
"Flop:  [K♥, 4♣, J♦]",2021-09-18T18:03:06.139Z,163198818613900
"Flop:  [3♦, 4♥, 7♦]",2021-09-18T18:02:10.204Z,163198813020400
"Flop:  [A♣, K♦, 6♦]",2021-09-18T18:01:40.252Z,163198810025200
"Flop:  [K♠, Q♦, J♠]",2021-09-18T18:00:53.871Z,163198805387100
"Flop:  [2♣, K♣, Q♥]",2021-09-18T17:59:12.599Z,163198795259900
"Flop:  [K♦, K♠, 8♣]",2021-09-18T17:58:23.035Z,163198790303500
"Flop:  [K♥, 9♠, 7♣]",2021-09-18T17:57:00.821Z,163198782082100
"Flop:  [10♣, Q♣, 2♣]",2021-09-18T17:55:31.649Z,163198773164900
"Flop:  [4♠, 3♣, 3♥]",2021-09-18T17:53:48.299Z,163198762829900
"Flop:  [A♥, 3♦, 3♣]",2021-09-18T17:51:54.260Z,163198751426000
"Flop:  [3♠, K♦, 9♥]",2021-09-18T17:51:04.535Z,163198746453500
"Flop:  [J♦, A♦, 4♣]",2021-09-18T17:50:21.649Z,163198742164900
"Flop:  [7♠, 8♥, 6♣]",2021-09-18T17:48:52.335Z,163198733233500
"Flop:  [6♠, 2♣, 9♥]",2021-09-18T17:48:01.944Z,163198728194400
"Flop:  [3♣, 3♦, 10♠]",2021-09-18T17:46:20.499Z,163198718049900
"Flop:  [A♣, K♠, 4♥]",2021-09-18T17:45:10.438Z,163198711043800
"Flop:  [5♠, 2♦, 2♣]",2021-09-18T17:44:33.476Z,163198707347600
"Flop:  [8♦, 6♥, 10♥]",2021-09-18T17:43:54.808Z,163198703480800
"Flop:  [3♠, 5♠, 8♦]",2021-09-18T17:42:14.070Z,163198693407000
"Flop:  [2♥, 9♥, 4♠]",2021-09-18T17:41:00.216Z,163198686021600
"Flop:  [6♠, 2♠, 8♠]",2021-09-18T17:39:26.233Z,163198676623300
"Flop:  [9♥, 7♥, 7♦]",2021-09-18T17:37:26.243Z,163198664624300
"Flop:  [2♣, 9♠, Q♠]",2021-09-18T17:36:21.465Z,163198658146500
"Flop:  [6♦, 9♥, 8♦]",2021-09-18T17:34:35.960Z,163198647596000
"Flop:  [10♥, Q♠, K♠]",2021-09-18T17:32:44.892Z,163198636489200
"Flop:  [10♠, 4♣, 9♥]",2021-09-18T17:31:03.721Z,163198626372100
"Flop:  [3♠, A♣, J♦]",2021-09-18T17:29:55.107Z,163198619510700
"Flop:  [Q♠, 2♥, 6♠]",2021-09-18T17:28:49.491Z,163198612949100
"Flop:  [8♥, 7♣, 7♥]",2021-09-18T17:27:17.683Z,163198603768300
"Flop:  [5♥, 5♠, 6♣]",2021-09-18T17:26:24.402Z,163198598440200
"Flop:  [8♠, 3♠, 4♠]",2021-09-18T17:25:39.670Z,163198593967000
"Flop:  [10♣, K♠, Q♣]",2021-09-18T17:24:02.792Z,163198584279200
"Flop:  [10♦, 4♣, K♦]",2021-09-18T17:23:12.795Z,163198579279500
"Flop:  [4♦, 10♦, A♣]",2021-09-18T17:22:28.953Z,163198574895300
"Flop:  [Q♦, 5♥, 2♥]",2021-09-18T17:21:11.533Z,163198567153300
"Flop:  [9♣, 6♦, 8♦]",2021-09-18T17:18:59.818Z,163198553981800
"Flop:  [6♣, A♠, 10♥]",2021-09-18T17:17:54.693Z,163198547469300
"Flop:  [2♥, 2♦, 10♠]",2021-09-18T17:16:23.416Z,163198538341600
"Flop:  [5♣, 5♠, 8♠]",2021-09-18T17:15:12.267Z,163198531226700
"Flop:  [A♣, 4♥, 3♥]",2021-09-18T17:12:28.885Z,163198514888500
"Flop:  [A♠, 7♥, 4♦]",2021-09-18T17:10:59.005Z,163198505900500
"Flop:  [A♥, 9♠, 10♣]",2021-09-18T17:09:36.577Z,163198497657700
"Flop:  [5♦, Q♦, 6♥]",2021-09-18T17:08:21.005Z,163198490100500
"Flop:  [3♣, 8♣, 2♥]",2021-09-18T17:06:56.145Z,163198481614500
"Flop:  [K♥, 2♥, K♠]",2021-09-18T17:05:30.247Z,163198473024700
"Flop:  [4♦, 7♦, 3♠]",2021-09-18T17:03:42.903Z,163198462290300
"Flop:  [9♣, K♥, 2♦]",2021-09-18T17:02:39.559Z,163198455955900
"Flop:  [J♠, 6♥, 3♣]",2021-09-18T17:01:34.703Z,163198449470300
"Flop:  [8♥, Q♦, 2♥]",2021-09-18T17:00:31.495Z,163198443149500
"Flop:  [4♥, 5♣, 7♣]",2021-09-18T16:58:22.747Z,163198430274700
"Flop:  [2♦, J♠, 6♣]",2021-09-18T16:56:53.162Z,163198421316200
"Flop:  [8♦, 7♦, K♦]",2021-09-18T16:55:36.945Z,163198413694500
"Flop:  [J♥, 3♣, 3♠]",2021-09-18T16:54:29.499Z,163198406949900
"Flop:  [K♠, 5♠, K♥]",2021-09-18T16:53:33.501Z,163198401350100
"Flop:  [K♣, 7♥, Q♦]",2021-09-18T16:52:00.855Z,163198392085500
"Flop:  [A♦, Q♠, 10♦]",2021-09-18T16:51:11.852Z,163198387185200
"Flop:  [3♦, J♥, K♥]",2021-09-18T16:49:57.859Z,163198379785900
"Flop:  [J♦, J♠, 2♦]",2021-09-18T16:49:12.710Z,163198375271000
"Flop:  [4♠, 2♦, 4♣]",2021-09-18T16:48:12.579Z,163198369257900
"Flop:  [8♥, 7♦, 6♣]",2021-09-18T16:46:43.600Z,163198360360000
"Flop:  [A♥, 6♠, 5♣]",2021-09-18T16:44:42.787Z,163198348278700
