"Flop:  [6♥, 9♠, J♣]",2021-09-11T21:46:37.043Z,163139679704300
"Flop:  [8♦, 7♥, 5♥]",2021-09-11T21:46:08.654Z,163139676865400
"Flop:  [3♥, 7♦, 9♦]",2021-09-11T21:43:48.287Z,163139662828700
"Flop:  [10♥, J♠, 9♦]",2021-09-11T21:42:48.807Z,163139656880700
"Flop:  [J♣, 3♥, 3♣]",2021-09-11T21:41:37.058Z,163139649705800
"Flop:  [3♣, 4♣, A♦]",2021-09-11T21:40:42.225Z,163139644222500
"Flop:  [K♦, Q♣, A♣]",2021-09-11T21:39:51.984Z,163139639198400
"Flop:  [10♠, Q♥, 8♠]",2021-09-11T21:38:58.902Z,163139633890200
"Flop:  [7♦, 8♠, 2♥]",2021-09-11T21:38:13.105Z,163139629310500
"Flop:  [8♣, K♦, K♠]",2021-09-11T21:36:48.373Z,163139620837300
"Flop:  [K♣, 10♣, 9♣]",2021-09-11T21:35:45.250Z,163139614525000
"Flop:  [8♦, 9♠, 6♥]",2021-09-11T21:34:42.463Z,163139608246300
"Flop:  [3♠, 3♥, Q♦]",2021-09-11T21:33:43.222Z,163139602322200
"Flop:  [4♦, 3♠, 4♠]",2021-09-11T21:31:53.868Z,163139591386800
"Flop:  [6♣, A♣, 8♥]",2021-09-11T21:30:07.117Z,163139580711700
"Flop:  [A♥, 4♦, 5♣]",2021-09-11T21:28:26.030Z,163139570603000
"Flop:  [8♠, A♠, 3♣]",2021-09-11T21:27:26.844Z,163139564684400
"Flop:  [7♠, 3♥, 7♦]",2021-09-11T21:26:26.835Z,163139558683500
"Flop:  [A♠, A♣, 9♣]",2021-09-11T21:25:29.338Z,163139552933800
"Flop:  [5♣, 10♦, A♦]",2021-09-11T21:24:56.536Z,163139549653600
"Flop:  [5♦, 3♣, 4♦]",2021-09-11T21:23:54.042Z,163139543404200
"Flop:  [3♣, 5♦, 9♥]",2021-09-11T21:23:12.442Z,163139539244200
