"Flop:  [7♠, 8♥, 10♥]",2021-08-07T20:11:32.491Z,162836709249100
"Flop:  [K♣, 5♦, 6♥]",2021-08-07T20:10:36.118Z,162836703611800
"Flop:  [3♠, 4♣, 8♥]",2021-08-07T20:10:05.103Z,162836700510300
"Flop:  [A♠, 3♥, K♠]",2021-08-07T20:09:30.070Z,162836697007000
"Flop:  [3♣, 7♠, 4♥]",2021-08-07T20:08:23.251Z,162836690325100
"Flop:  [10♠, 9♠, 6♥]",2021-08-07T20:07:27.116Z,162836684711600
"Flop:  [7♦, 5♣, J♦]",2021-08-07T20:06:45.599Z,162836680559900
"Flop:  [4♦, 10♠, 9♠]",2021-08-07T20:04:59.081Z,162836669908100
"Flop:  [6♥, 10♣, 5♥]",2021-08-07T20:03:28.376Z,162836660837600
"Flop:  [5♥, 9♣, 2♣]",2021-08-07T20:02:01.041Z,162836652104100
"Flop:  [3♠, K♥, 8♠]",2021-08-07T20:01:05.532Z,162836646553200
"Flop:  [6♣, 4♥, 9♠]",2021-08-07T20:00:24.209Z,162836642420900
"Flop:  [6♣, 7♥, 7♠]",2021-08-07T19:59:25.074Z,162836636507400
"Flop:  [A♥, K♥, 4♣]",2021-08-07T19:58:21.580Z,162836630158000
"Flop:  [6♦, 6♣, 3♥]",2021-08-07T19:57:43.287Z,162836626328700
"Flop:  [10♠, J♥, 5♣]",2021-08-07T19:57:12.723Z,162836623272300
"Flop:  [K♦, 10♠, 8♠]",2021-08-07T19:56:00.221Z,162836616022100
"Flop:  [3♠, 2♦, 10♥]",2021-08-07T19:55:25.427Z,162836612542700
"Flop:  [K♦, 4♣, 3♦]",2021-08-07T19:54:36.303Z,162836607630300
"Flop:  [3♣, J♦, 2♣]",2021-08-07T19:54:03.156Z,162836604315600
"Flop:  [8♣, A♦, 10♥]",2021-08-07T19:52:55.347Z,162836597534700
"Flop:  [4♠, 10♠, 5♠]",2021-08-07T19:52:09.205Z,162836592920500
"Flop:  [A♣, 9♦, 7♥]",2021-08-07T19:49:36.851Z,162836577685100
"Flop:  [2♦, K♣, 6♠]",2021-08-07T19:47:58.776Z,162836567877600
"Flop:  [9♦, 4♥, 9♥]",2021-08-07T19:47:04.655Z,162836562465500
"Flop:  [5♠, 3♣, 9♦]",2021-08-07T19:46:26.881Z,162836558688100
